date,zone_id,VV_mean,VH_mean
2025-11-14,zone_04,-8.7966,-14.9166
2025-11-14,zone_05,-13.1293,-21.9591
2025-11-14,zone_06,-11.5934,-19.6504
2025-11-14,zone_07,-13.1274,-21.7968
2025-11-14,zone_08,-9.6105,-16.8117
2025-11-14,zone_09,-12.1491,-21.2911
2025-11-14,zone_10,-11.9992,-20.1484
2025-11-14,zone_11,-12.4913,-20.8701
2025-11-14,zone_12,-12.0562,-21.6162
2025-11-14,zone_13,-11.8615,-20.6353
2025-11-14,zone_14,-12.4181,-20.6353
2025-11-14,zone_15,-13.0839,-21.7927
2025-11-14,zone_16,-14.153,-21.6669
2025-11-26,zone_01,-9.0199,-16.7407
2025-11-26,zone_02,-10.1068,-18.5391
2025-11-26,zone_03,-9.7665,-18.1139
2025-11-26,zone_04,-8.764,-14.8974
2025-11-26,zone_05,-13.0385,-21.9947
2025-11-26,zone_06,-11.5813,-19.5334
2025-11-26,zone_07,-13.0752,-21.8398
2025-11-26,zone_08,-9.3268,-16.7775
2025-11-26,zone_09,-11.9781,-21.3888
2025-11-26,zone_10,-11.6481,-19.7693
2025-11-26,zone_11,-12.6463,-21.0751
2025-11-26,zone_12,-12.0157,-21.3928
2025-11-26,zone_13,-11.8491,-20.8498
2025-11-26,zone_14,-12.0668,-20.8951
2025-11-26,zone_15,-12.4901,-21.4799
2025-11-26,zone_16,-14.3184,-21.9083
2025-12-08,zone_01,-9.0591,-16.825
2025-12-08,zone_02,-10.1794,-18.5394
2025-12-08,zone_03,-9.872,-18.5233
2025-12-08,zone_04,-8.9754,-14.977
2025-12-08,zone_05,-13.0226,-22.1352
2025-12-08,zone_06,-11.4079,-19.6856
2025-12-08,zone_07,-13.4933,-22.1504
2025-12-08,zone_08,-9.6355,-16.9126
2025-12-08,zone_09,-12.3339,-21.734
2025-12-08,zone_10,-11.8131,-19.7546
2025-12-08,zone_11,-12.6431,-21.4357
2025-12-08,zone_12,-11.6903,-21.3838
2025-12-08,zone_13,-11.9993,-21.3434
2025-12-08,zone_14,-12.0208,-20.8172
2025-12-08,zone_15,-12.6644,-21.5931
2025-12-08,zone_16,-14.4576,-22.3446
2025-12-20,zone_01,-9.2298,-17.0051
2025-12-20,zone_02,-9.8718,-18.4551
2025-12-20,zone_03,-9.9434,-18.9112
2025-12-20,zone_04,-9.0982,-15.1189
2025-12-20,zone_05,-13.1263,-22.5473
2025-12-20,zone_06,-11.4222,-19.7029
2025-12-20,zone_07,-13.1898,-22.234
2025-12-20,zone_08,-9.7687,-16.9378
2025-12-20,zone_09,-12.2823,-21.5866
2025-12-20,zone_10,-11.793,-20.0557
2025-12-20,zone_11,-12.8979,-21.6986
2025-12-20,zone_12,-11.3814,-21.21
2025-12-20,zone_13,-11.7061,-21.142
2025-12-20,zone_14,-11.792,-20.8026
2025-12-20,zone_15,-12.9354,-21.9836
2025-12-20,zone_16,-14.2473,-22.2312
2026-01-01,zone_01,-9.3422,-17.1578
2026-01-01,zone_02,-10.0246,-18.4763
2026-01-01,zone_03,-9.2638,-18.2535
2026-01-01,zone_04,-9.4992,-15.5569
2026-01-01,zone_05,-13.3543,-22.3049
2026-01-01,zone_06,-11.6166,-19.8563
2026-01-01,zone_07,-13.4918,-22.2189
2026-01-01,zone_08,-9.8528,-17.1816
2026-01-01,zone_09,-12.5654,-21.7737
2026-01-01,zone_10,-11.9659,-20.2196
2026-01-01,zone_11,-12.9162,-21.522
2026-01-01,zone_12,-11.9673,-21.5458
2026-01-01,zone_13,-11.73,-21.236
2026-01-01,zone_14,-12.3835,-21.008
2026-01-01,zone_15,-13.1794,-22.331
2026-01-01,zone_16,-14.4881,-22.6306
2026-01-13,zone_01,-9.2089,-17.0633
2026-01-13,zone_02,-9.8987,-18.432
2026-01-13,zone_03,-9.8871,-18.7113
2026-01-13,zone_04,-9.3331,-15.4494
2026-01-13,zone_05,-13.1489,-22.2813
2026-01-13,zone_06,-11.6463,-19.8673
2026-01-13,zone_07,-13.2345,-22.2186
2026-01-13,zone_08,-9.8245,-17.1693
2026-01-13,zone_09,-12.2641,-21.411
2026-01-13,zone_10,-11.8758,-20.1008
2026-01-13,zone_11,-12.7936,-21.2774
2026-01-13,zone_12,-11.7559,-21.3442
2026-01-13,zone_13,-11.6013,-21.0636
2026-01-13,zone_14,-12.1821,-20.6709
2026-01-13,zone_15,-13.2421,-22.0344
2026-01-13,zone_16,-14.472,-22.531
2026-01-25,zone_01,-9.1965,-17.1265
2026-01-25,zone_02,-9.5585,-18.1062
2026-01-25,zone_03,-9.2768,-18.2867
2026-01-25,zone_04,-9.2067,-15.1177
2026-01-25,zone_05,-13.2406,-22.1078
2026-01-25,zone_06,-11.4889,-19.6089
2026-01-25,zone_07,-13.0924,-22.1532
2026-01-25,zone_08,-9.8359,-16.9624
2026-01-25,zone_09,-12.4393,-21.4208
2026-01-25,zone_10,-11.821,-19.8918
2026-01-25,zone_11,-13.024,-21.5338
2026-01-25,zone_12,-11.7266,-21.4139
2026-01-25,zone_13,-11.6295,-21.0822
2026-01-25,zone_14,-12.1611,-20.7438
2026-01-25,zone_15,-13.0819,-21.8154
2026-01-25,zone_16,-14.5333,-22.3002
2026-02-06,zone_01,-9.2466,-17.1716
2026-02-06,zone_02,-9.7371,-18.1372
2026-02-06,zone_03,-9.7668,-18.5091
2026-02-06,zone_04,-9.1316,-15.0685
2026-02-06,zone_05,-13.0567,-22.4204
2026-02-06,zone_06,-11.5425,-19.5842
2026-02-06,zone_07,-13.1659,-22.1576
2026-02-06,zone_08,-9.6773,-16.9793
2026-02-06,zone_09,-12.2219,-21.4148
2026-02-06,zone_10,-11.9444,-19.9165
2026-02-06,zone_11,-12.9883,-21.2717
2026-02-06,zone_12,-11.9289,-21.5892
2026-02-06,zone_13,-11.5994,-20.9214
2026-02-06,zone_14,-12.172,-20.7795
2026-02-06,zone_15,-13.0062,-21.7198
2026-02-06,zone_16,-14.5655,-22.4543
2026-02-18,zone_01,-9.2836,-17.401
2026-02-18,zone_02,-9.967,-18.2325
2026-02-18,zone_03,-9.9641,-18.6273
2026-02-18,zone_04,-9.182,-15.2148
2026-02-18,zone_05,-13.0423,-21.9691
2026-02-18,zone_06,-11.5598,-19.6891
2026-02-18,zone_07,-13.4422,-22.2462
2026-02-18,zone_08,-10.0283,-17.1241
2026-02-18,zone_09,-12.5029,-21.2088
2026-02-18,zone_10,-11.9482,-20.0108
2026-02-18,zone_11,-13.1937,-21.6275
2026-02-18,zone_12,-12.2391,-21.7411
2026-02-18,zone_13,-11.7151,-21.0821
2026-02-18,zone_14,-11.9628,-20.6116
2026-02-18,zone_15,-12.9666,-22.0991
2026-02-18,zone_16,-14.5224,-22.431
2026-03-02,zone_01,-9.3315,-17.3479
2026-03-02,zone_02,-9.7086,-18.1756
2026-03-02,zone_03,-10.0107,-18.5224
2026-03-02,zone_04,-9.1501,-14.9889
2026-03-02,zone_05,-12.8666,-21.79
2026-03-02,zone_06,-11.3367,-19.4922
2026-03-02,zone_07,-13.4399,-22.4766
2026-03-02,zone_08,-9.8022,-16.9111
2026-03-02,zone_09,-11.8185,-20.9291
2026-03-02,zone_10,-11.8295,-19.9097
2026-03-02,zone_11,-12.7964,-21.2175
2026-03-02,zone_12,-12.0536,-21.6709
2026-03-02,zone_13,-11.4079,-20.9709
2026-03-02,zone_14,-11.6645,-20.3203
2026-03-02,zone_15,-13.117,-21.523
2026-03-02,zone_16,-14.3776,-22.4305
2026-03-14,zone_01,-9.3699,-17.4202
2026-03-14,zone_02,-9.7011,-17.9187
2026-03-14,zone_03,-9.2755,-18.3864
2026-03-14,zone_04,-9.0446,-15.2207
2026-03-14,zone_05,-12.6454,-21.3681
2026-03-14,zone_06,-11.3158,-19.2895
2026-03-14,zone_07,-13.3104,-22.1352
2026-03-14,zone_08,-9.4709,-16.8504
2026-03-14,zone_09,-12.1607,-20.5849
2026-03-14,zone_10,-11.7658,-19.7838
2026-03-14,zone_11,-13.0245,-21.1201
2026-03-14,zone_12,-11.8664,-21.321
2026-03-14,zone_13,-11.4003,-20.6831
2026-03-14,zone_14,-11.7535,-20.0371
2026-03-14,zone_15,-12.9136,-21.3342
2026-03-14,zone_16,-14.2812,-22.1874
2026-03-26,zone_01,-9.2417,-17.3048
